battery,cycle_num,anchor_cycle,capacity_ahr,capacity_mean,ambient_temp_c,voltage_measured_mean,voltage_min,voltage_max,voltage_std,v_dod_10,v_dod_50,v_dod_90,re_ohm_interp,rct_ohm_interp,ir_mean,ir_max,temperature_measured_max,temperature_mean,temperature_min,temperature_std,temp_rise_cycle,discharge_time_sec,eff_c_rate,current_mean,current_std,current_min,current_max,dvdt_max_abs,dTdt_max,soh,capacity_derivative,cap_vel,regen_strength,impedance_sum,impedance_growth,dcr,dcr_growth,lli,lam,temp_rise,thermal_stress,cycle_life,rul_cycles,rul_norm,c_ref_ahr,c_rate_peak,c_rate_mean,eff_c_rate_C,discharge_current_class
B0005,1,1,1.8564874208181572,1.8564874208181572,24.330033885570543,3.52982866886934,2.612467347907089,4.191491807505295,0.2359570706808563,0.0,0.0,0.0,0.6185091950666108,0.6185091950666108,0.0,0.0,38.98218133148803,32.572328114029,24.325993424022467,3.4869204762216834,14.652147445917484,3690.234,1.811092390061272,-1.8187019641679727,0.593546181674474,-2.0180146876333027,0.0007285852728454,0.01943448142488,0.0119529361020175,0.9999994613486468,0.0,0.0,0.0,1.2370183901332217,-0.0058301825243257,0.6185091950666108,-0.005830177824953,0.0,0.0,14.652147445917484,1.011322699722393,105.0,104.0,0.9904761904761904,1.8352043352523866,1.0996130778841993,0.9910078835542069,0.9868614384088198,2A
B0005,2,1,1.846327249719927,1.846327249719927,24.697751935729325,3.5373201277859714,2.587208728940726,4.189773213846608,0.2347649292859221,0.0,0.0,0.0,0.626146807294114,0.626146807294114,0.0,0.0,39.03339796678704,32.72523522519307,24.685948163596,3.426734226466466,14.33564603105771,3672.344,1.809955194554687,-1.817559850661287,0.5951796218062511,-2.016820542901454,0.0029274033590803,0.0201124011580445,0.011545445428604,0.9972630663934464,-0.005080085549115,-0.005080085549115,0.005080085549115,1.244656002360725,0.0003250409079453,0.6223280011803625,0.0003250406467541,-0.7373359015515657,0.7517208276968536,14.33564603105771,1.0139158459048911,105.0,103.0,0.9809523809523808,1.8352043352523866,1.0989623902692507,0.9903855476732659,0.986241782338517,2A
B0005,3,1,1.835349194223408,1.835349194223408,24.7342661639544,3.5437367282719,2.65191689384378,4.188186735991303,0.2275254354967308,0.0,0.0,0.0,0.6307598984765167,0.6307598984765167,0.0,0.0,38.81879668981741,32.64286193755933,24.7342661639544,3.379475042762775,14.084530525863002,3651.641,1.8093939407527375,-1.816486541884096,0.5964980204475099,-2.016573862170142,0.001483676365228,0.0186429218316197,0.0107878436148522,0.9945266714382456,-0.0050800855491153,-0.0050800855491149,0.0101601710982304,1.252293614588228,0.0064426092222212,0.626146807294114,0.0064426040609737,-0.7373359015515496,0.7517208276968266,14.084530525863002,1.003094624165691,105.0,102.0,0.9714285714285714,1.8352043352523866,1.0988279743208065,0.9898007033828654,0.9859359560110784,2A
B0005,4,1,1.8352625275821128,1.8352625275821128,24.65423646922845,3.5436661072601456,2.592947964776547,4.188461118855572,0.2327443172418253,0.0,0.0,0.0,0.6219235024811083,0.6219235024811083,0.0,0.0,38.7623045063458,32.51487646204882,24.65224374129252,3.3865437316993527,14.108068037117349,3631.563,1.8193117121458735,-1.8255891938692528,0.5834624841611844,-2.0159359571668354,0.0015470119527235,0.0203284463961793,0.0117599185820812,0.9915699992141116,-0.0054890277482595,-0.0052027682088586,0.0156491988464899,1.2480703097752222,0.0030644566180873,0.6240351548876111,0.0030644541589694,-0.6861507224618989,0.3865163093982606,14.108068037117349,1.000265271676947,105.0,101.0,0.961904761904762,1.8352043352523866,1.0984803808724621,0.9947607243518137,0.9913401342830157,2A
B0005,5,1,1.8346455082120416,1.8346455082120416,24.524796959348127,3.5423432526672167,2.547419651124539,4.188298524761055,0.2366885716567803,0.0,0.0,0.0,0.6209018180496741,0.6209018180496741,0.0,0.0,38.66539257343368,32.38234901543077,24.518700434435164,3.3958806914600226,14.140595614085552,3629.172,1.819898265930452,-1.8261139590277584,0.5834685498827803,-2.017425579158831,0.0017014548245034,0.0215477311297072,0.0118519773378197,0.9886133269899774,-0.0054890277482597,-0.0052845566486873,0.0211382265947497,1.2438470049622166,-0.0003251465938902,0.6219235024811083,-0.0003251463325291,-0.6029372099289395,0.1553787703087669,14.140595614085552,0.9954301137051283,105.0,100.0,0.9523809523809524,1.8352043352523866,1.0992920735888434,0.9950466680739516,0.9916597465318053,2A
B0005,6,1,1.8356616600675493,1.8356616600675493,24.522297376927863,3.541334734634757,2.5209480504077413,4.188815807948604,0.2393162599829323,0.0,0.0,0.0,0.6302707885008874,0.6302707885008874,0.0,0.0,38.75169504640032,32.43418218230641,24.51442664842638,3.4173255675455376,14.229397669472458,3652.281,1.8093848683174096,-1.8168108743168805,0.5967015706365189,-2.0162347618032066,0.0024899497555445,0.0222544144543919,0.0121009989091623,0.9886133269899774,0.0,-0.0043094337587787,0.0211382265947497,1.252293614588228,0.0064426092222212,0.626146807294114,0.0064426040609737,-0.5829276484996816,0.2004263969091083,14.229397669472458,0.9997347986734532,105.0,99.0,0.9428571428571428,1.8352043352523866,1.0986431990560461,0.9899774316231786,0.9859310124551193,2A
B0005,7,1,1.8351461429226603,1.8351461429226603,24.58487828579781,3.541025049507521,2.487927319492314,4.18839163793879,0.2425153341196382,0.0,0.0,0.0,0.6309906716633036,0.6309906716633036,0.0,0.0,38.8207012322275,32.480416444757985,24.575581239008407,3.419542558294876,14.235822946429687,3650.828,1.809596648903092,-1.816791144707133,0.5964919190059063,-2.01583310669507,0.0023142958827398,0.0231521526641779,0.0127260281193009,0.98856664388637,-8.666664129486357e-05,-0.0027618472023887,0.0212248932360445,1.2605415770017747,0.0130072940029815,0.6302707885008874,0.0130072836167822,-0.5729948559408264,0.2921986458960576,14.235822946429687,1.003190150526622,105.0,98.0,0.9333333333333332,1.8352043352523866,1.0984243378096872,0.9899666809893835,0.9860464113682617,2A
B0005,8,1,1.8257567905665535,1.8257567905665535,24.713628799279796,3.554133296801584,2.665204904745877,4.188927891511958,0.2273125109616539,0.0,0.0,0.0,0.6069941994606931,0.6069941994606931,0.0,0.0,38.51713023385634,32.41046186109587,24.71132429046902,3.3516161723228617,13.80350143457655,3572.453,1.8398351065891123,-1.844341212075406,0.5573831672048897,-2.0166395518034546,0.0022276160569156,0.0181066484982912,0.0109106317833862,0.9885039531320688,-0.0001163846594525,-0.0011470824739307,0.0213412778954971,1.2438470049622166,-0.0003251465938902,0.6219235024811083,-0.0003251463325291,-0.5663916827016107,0.2293208772822812,13.80350143457655,0.9880781579503988,105.0,97.0,0.923809523809524,1.8352043352523866,1.0988637685002614,1.0049786700300938,1.002523300129459,2A
B0005,9,1,1.8247738529891333,1.8247738529891333,24.63521163332469,3.5529355991467955,2.603858472633368,4.189029250882121,0.2324538495076242,0.0,0.0,0.0,0.5957069648415049,0.5957069648415049,0.0,0.0,38.526267904657,32.3461408313,24.628487294051176,3.3724043396197616,13.891056271332303,3550.594,1.8501653162149432,-1.853972745505648,0.5424840616663397,-2.018357230695621,0.0054010283210214,0.0197606669136056,0.0106200948389902,0.9882342855677552,-0.0005006347106184,-0.0001610423323476,0.0218419126061155,1.2418036360993483,-0.001969277627656,0.6209018180496741,-0.0019692760433984,-0.5072744142397451,0.0268198382521318,13.891056271332303,0.9885296977397262,105.0,96.0,0.9142857142857144,1.8352043352523866,1.0997997290683417,1.0102268776793624,1.0081522153556264,2A
B0005,10,1,1.824613268496936,1.824613268496936,24.572057664095556,3.5512057319377,2.552853984885676,4.189223427076418,0.2367287014754214,0.0,0.0,0.0,0.5942805827551827,0.5942805827551827,0.0,0.0,38.52698128472781,32.27679750791685,24.561560340089137,3.384318782535614,13.954923620632258,3551.25,1.8496607579272,-1.853589933851096,0.5423346882876612,-2.016071837814984,0.0030191479674457,0.0211384201357046,0.0108070470798098,0.983446365780154,-0.0088887176454881,-0.0019801826683778,0.0307306302516037,1.2139883989213862,-0.024622990695258,0.6069941994606931,-0.0246229706602412,-0.6353543942787137,-0.8329898792654732,13.954923620632258,0.9885649582378646,105.0,95.0,0.9047619047619048,1.8352043352523866,1.0985544220271926,1.0100182842016776,1.0078772823260715,2A
